question_id,question,category
1,"Full names of both spouses","Personal and Biographical Information"
2,"Date and place of birth of both spouses","Personal and Biographical Information"
3,"Date and place of marriage","Personal and Biographical Information"
4,"Mother's name and current residence","Personal and Biographical Information"
5,"Father's name and current residence","Personal and Biographical Information"
6,"Number of siblings","Personal and Biographical Information"
7,"Birth order among siblings","Personal and Biographical Information"
8,"Names of siblings in birth order and their current residence","Personal and Biographical Information"
9,"Grandparents' names and current residence (paternal side)","Personal and Biographical Information"
10,"Grandparents' names and current residence (maternal side)","Personal and Biographical Information"
11,"Children's names, ages, and where they live","Personal and Biographical Information"
12,"Which hand do you write with?","Personal and Biographical Information"
13,"Where were you raised and with whom?","Personal and Biographical Information"
14,"Did you complete school?","Personal and Biographical Information"
15,"Month and year you arrived in the United States","Personal and Biographical Information"
16,"Place of residence in your country of origin","Personal and Biographical Information"
17,"Who did you live with in your country of origin?","Personal and Biographical Information"
18,"What was your occupation in your country of origin?","Personal and Biographical Information"
19,"Where did you complete primary education?","Personal and Biographical Information"
20,"Where did you complete secondary education?","Personal and Biographical Information"
21,"What other studies did you complete in your country?","Personal and Biographical Information"
22,"What sports did you play in school? And now?","Personal and Biographical Information"
23,"What beach do you prefer?","Personal and Biographical Information"
24,"Do you smoke? What type of products?","Personal and Biographical Information"
25,"What are your favorite drinks?","Personal and Biographical Information"
26,"What is your phone number and your spouse's phone number?","Personal and Biographical Information"
27,"Do you have any tattoos? Where? What design?","Personal and Biographical Information"
28,"Do you have any scars or birthmarks? Where?","Personal and Biographical Information"
29,"What languages do you speak?","Personal and Biographical Information"
30,"Do you have any allergies or dietary restrictions?","Personal and Biographical Information"
31,"Do you have any social media accounts? Which platforms?","Personal and Biographical Information"
32,"How, when, and where did you meet?","Before Dating"
33,"Where did you see your spouse for the second time?","Before Dating"
34,"Who did you live with and where before getting married?","Before Dating"
35,"Where did you both work when you met and what type of work did you do?","Before Dating"
36,"Did you have a car when you met? What model and color?","Before Dating"
37,"Details of first date: date, time, who picked up whom, and where you went","Before Dating"
38,"Who took the initiative to ask for the other's phone number?","Before Dating"
39,"Who made the first call or sent the first message?","Before Dating"
40,"What places did you continue to see your spouse after you met?","Before Dating"
41,"How long were you friends before becoming a couple?","Before Dating"
42,"Were you introduced by someone or did you meet by chance?","Before Dating"
43,"What was your first impression of your spouse?","Before Dating"
44,"What was your spouse wearing when you first met?","Before Dating"
45,"Did either of you date anyone else between first meeting and becoming a couple?","Before Dating"
46,"Did you meet online? Which platform or app?","Before Dating"
47,"When and how did you decide to become a couple? Details.","Dating Period"
48,"Who proposed to whom?","Dating Period"
49,"Describe how they asked you to be their boyfriend/girlfriend","Dating Period"
50,"Did you exchange rings when you became a couple?","Dating Period"
51,"Was there an engagement ring when you became a couple?","Dating Period"
52,"Did you have intimate relations before marriage?","Dating Period"
53,"Did you spend the night at your boyfriend's/girlfriend's house?","Dating Period"
54,"When did you decide to get married and where did they propose?","Dating Period"
55,"Did you live together before getting married? Where, when, and for how long?","Dating Period"
56,"When was the first time you moved in together?","Dating Period"
57,"Who moved in with whom?","Dating Period"
58,"How did you move and who helped you?","Dating Period"
59,"Did you celebrate anniversaries while dating? How?","Dating Period"
60,"What was the most memorable gift you gave each other while dating?","Dating Period"
61,"Did you meet each other's friends while dating?","Dating Period"
62,"Did you have any major disagreements or break-ups while dating?","Dating Period"
63,"How long was your engagement period?","Dating Period"
64,"Did you take engagement photos? Where?","Dating Period"
65,"Date and time of marriage","Marriage"
66,"Did you arrive together at the courthouse or venue?","Marriage"
67,"What did you do before the wedding?","Marriage"
68,"How was the wedding?","Marriage"
69,"Do you have wedding rings? Who bought them? How much did they cost?","Marriage"
70,"Did you engrave anything on the rings?","Marriage"
71,"Why did you choose your particular wedding venue?","Marriage"
72,"Where did you go after the ceremony?","Marriage"
73,"Who attended the ceremony?","Marriage"
74,"Did you have a party? Where?","Marriage"
75,"Who attended the wedding party?","Marriage"
76,"What food and drinks were served?","Marriage"
77,"Who was in charge of the food and drinks?","Marriage"
78,"Did you go on a honeymoon? If yes, where did you go?","Marriage"
79,"How did you travel to your honeymoon?","Marriage"
80,"Who was your witness at the wedding?","Marriage"
81,"What were you wearing on your wedding day?","Marriage"
82,"What was your spouse wearing on your wedding day?","Marriage"
83,"Did you have a photographer or videographer?","Marriage"
84,"What color was your wedding cake?","Marriage"
85,"Did you have any special traditions or customs at your wedding?","Marriage"
86,"Did you livestream your wedding for people who couldn't attend?","Marriage"
87,"Where do you currently live?","Housing"
88,"What color is the building?","Housing"
89,"How many rooms does the house have?","Housing"
90,"What color are the furniture, bedroom set, and other items?","Housing"
91,"How many TVs do you have?","Housing"
92,"What color is the carpet?","Housing"
93,"What color are the curtains?","Housing"
94,"What color is the refrigerator, dishwasher, and oven?","Housing"
95,"What color is the kitchen wall? Where do you dispose of garbage?","Housing"
96,"What color is the bathroom?","Housing"
97,"What color are both toothbrushes?","Housing"
98,"Do you have lamps on the nightstands?","Housing"
99,"How long have you lived at this address?","Housing"
100,"Looking at the bed from the foot, which side of the bed do you sleep on?","Housing"
101,"Where do you wash your clothes?","Housing"
102,"Do you have paintings in your room?","Housing"
103,"Where do you keep your underwear?","Housing"
104,"Where do you keep your clothes?","Housing"
105,"Where do you put the bread?","Housing"
106,"Where are the salt and pepper located?","Housing"
107,"How many air conditioning units are in the house and where are they located?","Housing"
108,"How many drawers does the dresser have?","Housing"
109,"Are there curtains in the shower or sliding doors?","Housing"
110,"Do you have streaming devices? Which ones?","Housing"
111,"Who else lives with you?","Housing"
112,"Are all rooms on the same side of the house?","Housing"
113,"What size bed do you have?","Housing"
114,"How many pillows do you and your spouse sleep with?","Housing"
115,"Describe your bedroom furniture, specify material and color","Housing"
116,"How many drawers does the nightstand have?","Housing"
117,"What type of lighting does your room have?","Housing"
118,"What color are the sheets?","Housing"
119,"What color is the comforter or bedspread?","Housing"
120,"What color are the pillowcases?","Housing"
121,"Which room in your house has ceiling fans? When and who installed them?","Housing"
122,"How many bathrooms does the house have?","Housing"
123,"What are the colors of the bathroom(s)?","Housing"
124,"Where are clean bathroom towels kept?","Housing"
125,"Where is the toothpaste kept?","Housing"
126,"Do you have a washer or dryer at home? Where is it located?","Housing"
127,"Where do you have dinner? Table, counter?","Housing"
128,"Where is the mail? Who collects it and who has the key?","Housing"
129,"Where do you keep dirty clothes?","Housing"
130,"Where do you keep shoes?","Housing"
131,"Is there an attic in the house and where is it?","Housing"
132,"Where do you keep holiday decorations?","Housing"
133,"Are there pets in the house? What animal, color, and breed?","Housing"
134,"Where is medicine kept in the house?","Housing"
135,"Do you have smart home devices? Which ones and where?","Housing"
136,"What day is trash collection?","Housing"
137,"Who is responsible for cleaning different areas of the home?","Housing"
