question_id,question,category
32,"How, when, and where did you meet?","Before Dating"
33,"Where did you see your spouse for the second time?","Before Dating"
34,"Who did you live with and where before getting married?","Before Dating"
35,"Where did you both work when you met and what type of work did you do?","Before Dating"
36,"Did you have a car when you met? What model and color?","Before Dating"
37,"Details of first date: date, time, who picked up whom, and where you went","Before Dating"
38,"Who took the initiative to ask for the other's phone number?","Before Dating"
39,"Who made the first call or sent the first message?","Before Dating"
40,"What places did you continue to see your spouse after you met?","Before Dating"
41,"How long were you friends before becoming a couple?","Before Dating"
42,"Were you introduced by someone or did you meet by chance?","Before Dating"
43,"What was your first impression of your spouse?","Before Dating"
44,"What was your spouse wearing when you first met?","Before Dating"
45,"Did either of you date anyone else between first meeting and becoming a couple?","Before Dating"
46,"Did you meet online? Which platform or app?","Before Dating"
