question_id,question,category
47,"When and how did you decide to become a couple? Details.","Dating Period"
48,"Who proposed to whom?","Dating Period"
49,"Describe how they asked you to be their boyfriend/girlfriend","Dating Period"
50,"Did you exchange rings when you became a couple?","Dating Period"
51,"Was there an engagement ring when you became a couple?","Dating Period"
52,"Did you have intimate relations before marriage?","Dating Period"
53,"Did you spend the night at your boyfriend's/girlfriend's house?","Dating Period"
54,"When did you decide to get married and where did they propose?","Dating Period"
55,"Did you live together before getting married? Where, when, and for how long?","Dating Period"
56,"When was the first time you moved in together?","Dating Period"
57,"Who moved in with whom?","Dating Period"
58,"How did you move and who helped you?","Dating Period"
59,"Did you celebrate anniversaries while dating? How?","Dating Period"
60,"What was the most memorable gift you gave each other while dating?","Dating Period"
61,"Did you meet each other's friends while dating?","Dating Period"
62,"Did you have any major disagreements or break-ups while dating?","Dating Period"
63,"How long was your engagement period?","Dating Period"
64,"Did you take engagement photos? Where?","Dating Period"
