question_id,question,category
65,"Date and time of marriage","Marriage"
66,"Did you arrive together at the courthouse or venue?","Marriage"
67,"What did you do before the wedding?","Marriage"
68,"How was the wedding?","Marriage"
69,"Do you have wedding rings? Who bought them? How much did they cost?","Marriage"
70,"Did you engrave anything on the rings?","Marriage"
71,"Why did you choose your particular wedding venue?","Marriage"
72,"Where did you go after the ceremony?","Marriage"
73,"Who attended the ceremony?","Marriage"
74,"Did you have a party? Where?","Marriage"
75,"Who attended the wedding party?","Marriage"
76,"What food and drinks were served?","Marriage"
77,"Who was in charge of the food and drinks?","Marriage"
78,"Did you go on a honeymoon? If yes, where did you go?","Marriage"
79,"How did you travel to your honeymoon?","Marriage"
80,"Who was your witness at the wedding?","Marriage"
81,"What were you wearing on your wedding day?","Marriage"
82,"What was your spouse wearing on your wedding day?","Marriage"
83,"Did you have a photographer or videographer?","Marriage"
84,"What color was your wedding cake?","Marriage"
85,"Did you have any special traditions or customs at your wedding?","Marriage"
86,"Did you livestream your wedding for people who couldn't attend?","Marriage"
