question_id,question,category
161,"What time do you wake up and go to bed on workdays?","Married Life"
162,"What time do you wake up and go to bed on weekends?","Married Life"
163,"Where do you regularly have breakfast, and what do you eat?","Married Life"
164,"Where do you regularly have lunch, and what do you eat?","Married Life"
165,"Where do you regularly have dinner, and what do you eat?","Married Life"
166,"What religion do you belong to?","Married Life"
167,"When was the last time you went to church together?","Married Life"
168,"How many cars do you have and what make and color are they?","Married Life"
169,"When was the last time you went to the beach together?","Married Life"
170,"Show your house keys","Married Life"
171,"What day of the week is garbage day?","Married Life"
172,"Who takes out the garbage?","Married Life"
173,"Who drives when you go out?","Married Life"
174,"Do you sleep with or without clothes?","Married Life"
175,"What brand of toothpaste do you use?","Married Life"
176,"What brand of toothpaste did you use this morning?","Married Life"
177,"When did you change cars?","Married Life"
178,"Who does the laundry, where, and when?","Married Life"
179,"When was the last time you went to the movies? What did you see? Which theater?","Married Life"
180,"On which side of the car is the gas tank?","Married Life"
181,"Since getting married, have you gone on trips together? Explain?","Married Life"
182,"How does the husband shave? Disposable razor, electric? Where does he keep them?","Married Life"
183,"What type of alcoholic beverages do you keep at home?","Married Life"
184,"When was the last time you were intimate?","Married Life"
185,"How frequently are you intimate?","Married Life"
186,"What was the last gathering you had at home? Who was present?","Married Life"
187,"Who cooks at home?","Married Life"
188,"When was your last vacation?","Married Life"
189,"Do you drink coffee at home?","Married Life"
190,"Current height and weight","Married Life"
191,"What sport do you currently practice?","Married Life"
192,"Do you like having many friends?","Married Life"
193,"Who are your best friends?","Married Life"
194,"Who do you visit most frequently?","Married Life"
195,"Who visits you most frequently?","Married Life"
196,"Can you do laundry?","Married Life"
197,"Can you iron?","Married Life"
198,"Do you have a preference for any sports teams?","Married Life"
199,"Can you swim?","Married Life"
200,"What is your email address?","Married Life"
201,"Where did you learn to drive?","Married Life"
202,"Do you know other cities in the United States?","Married Life"
203,"What do you prefer to do in your free time?","Married Life"
204,"What are you afraid of?","Married Life"
205,"What is your favorite food?","Married Life"
206,"Do you like to cook?","Married Life"
207,"What type of meat do you prefer: beef, pork, chicken, fish, other?","Married Life"
208,"Do you like to eat vegetables?","Married Life"
209,"What is your favorite dessert?","Married Life"
210,"What is your favorite color?","Married Life"
211,"What is your favorite alcoholic drink?","Married Life"
212,"What is your favorite soft drink?","Married Life"
213,"What is your favorite fruit?","Married Life"
214,"What is your favorite music genre?","Married Life"
215,"Who is your favorite singer or musical group?","Married Life"
216,"Do you like to dance?","Married Life"
217,"Who is your favorite artist?","Married Life"
218,"What is your favorite TV program or streaming show?","Married Life"
219,"Do you wear casual clothes?","Married Life"
220,"What is your shirt/blouse/pullover size?","Married Life"
221,"What is your pants size?","Married Life"
222,"What is your shoe size?","Married Life"
223,"Do you have medical insurance?","Married Life"
224,"Do you suffer from any illness?","Married Life"
225,"Do you take any medicine?","Married Life"
226,"Are you allergic to any medicine?","Married Life"
227,"How many children do you plan to have with your partner?","Married Life"
228,"Who makes most of the household decisions?","Married Life"
229,"What do you typically argue about?","Married Life"
230,"How do you resolve conflicts?","Married Life"
231,"What chores or responsibilities does each of you handle?","Married Life"
232,"What is your spouse's most annoying habit?","Married Life"
233,"What would you say is your spouse's best quality?","Married Life"
234,"What nicknames do you have for each other?","Married Life"
235,"What was the last gift you gave your spouse?","Married Life"
236,"Do you celebrate each other's accomplishments? How?","Married Life"
237,"What streaming services do you subscribe to?","Married Life"
