question_id,question,category
1,"Full names of both spouses","Personal and Biographical Information"
2,"Date and place of birth of both spouses","Personal and Biographical Information"
3,"Date and place of marriage","Personal and Biographical Information"
4,"Mother's name and current residence","Personal and Biographical Information"
5,"Father's name and current residence","Personal and Biographical Information"
6,"Number of siblings","Personal and Biographical Information"
7,"Birth order among siblings","Personal and Biographical Information"
8,"Names of siblings in birth order and their current residence","Personal and Biographical Information"
9,"Grandparents' names and current residence (paternal side)","Personal and Biographical Information"
10,"Grandparents' names and current residence (maternal side)","Personal and Biographical Information"
11,"Children's names, ages, and where they live","Personal and Biographical Information"
12,"Which hand do you write with?","Personal and Biographical Information"
13,"Where were you raised and with whom?","Personal and Biographical Information"
14,"Did you complete school?","Personal and Biographical Information"
15,"Month and year you arrived in the United States","Personal and Biographical Information"
16,"Place of residence in your country of origin","Personal and Biographical Information"
17,"Who did you live with in your country of origin?","Personal and Biographical Information"
18,"What was your occupation in your country of origin?","Personal and Biographical Information"
19,"Where did you complete primary education?","Personal and Biographical Information"
20,"Where did you complete secondary education?","Personal and Biographical Information"
21,"What other studies did you complete in your country?","Personal and Biographical Information"
22,"What sports did you play in school? And now?","Personal and Biographical Information"
23,"What beach do you prefer?","Personal and Biographical Information"
24,"Do you smoke? What type of products?","Personal and Biographical Information"
25,"What are your favorite drinks?","Personal and Biographical Information"
26,"What is your phone number and your spouse's phone number?","Personal and Biographical Information"
27,"Do you have any tattoos? Where? What design?","Personal and Biographical Information"
28,"Do you have any scars or birthmarks? Where?","Personal and Biographical Information"
29,"What languages do you speak?","Personal and Biographical Information"
30,"Do you have any allergies or dietary restrictions?","Personal and Biographical Information"
31,"Do you have any social media accounts? Which platforms?","Personal and Biographical Information"
