question_id,question,category
144,"Where do you currently work?","Work"
145,"Do you work weekends?","Work"
146,"What is each person's work schedule?","Work"
147,"What is the salary for each of you?","Work"
148,"How are you paid?","Work"
149,"What time do you leave for work, and what time do you return from work?","Work"
150,"How do you get to work?","Work"
151,"What is your work phone number?","Work"
152,"What is your work address?","Work"
153,"Who are your supervisors or managers?","Work"
154,"How long have you been at your current job?","Work"
155,"Do your coworkers know you're married?","Work"
156,"Has your spouse ever visited you at work?","Work"
157,"Do you have work-related social events? Does your spouse attend?","Work"
158,"What are your career goals?","Work"
159,"Do you work remotely or in-office? How many days per week?","Work"
160,"What is your job title and main responsibilities?","Work"
